Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
26.5,1491.04,1.679,1.664,11.828,35.336852,30.6303,11.8278,4.1722,127.423,1023.2365
26.75,1491,1.709,1.694,11.8309,35.298064,30.5906,11.8307,4.13962,126.432,1023.2053
27,1490.95,1.734,1.718,11.8165,35.283517,30.5885,11.8163,4.1283,126.086,1023.2064
27.25,1490.94,1.743,1.727,11.7865,35.337905,30.6655,11.7863,4.11502,125.672,1023.2716
27.5,1490.96,1.726,1.71,11.7744,35.385165,30.721,11.7742,4.09109,124.936,1023.3168
27.75,1491.01,1.691,1.675,11.7783,35.421397,30.7528,11.7781,4.07777,124.527,1023.3405
28,1491.18,1.652,1.637,11.8401,35.431207,30.7112,11.8399,4.06631,124.182,1023.297
28.25,1491.41,1.629,1.614,11.9419,35.414279,30.6111,11.9417,4.04342,123.494,1023.2007
28.5,1491.56,1.626,1.611,12.0287,35.360331,30.4884,12.0285,4.03855,123.359,1023.0898
28.75,1491.63,1.642,1.627,12.0728,35.321097,30.4149,12.0726,4.04173,123.464,1023.0248
29,1491.61,1.668,1.653,12.0792,35.286137,30.3762,12.079,4.05174,123.774,1022.9938
29.25,1491.55,1.697,1.681,12.0688,35.260376,30.3601,12.0686,4.0861,124.825,1022.9833
29.5,1491.45,1.718,1.702,12.0297,35.260503,30.392,12.0295,4.13965,126.456,1023.0153
29.75,1491.43,1.728,1.712,12.0034,35.299154,30.4504,12.0032,4.1896,127.976,1023.0654
30,1491.46,1.727,1.711,11.9928,35.343309,30.5014,11.9925,4.26692,130.333,1023.1069
30.25,1491.44,1.716,1.7,11.9786,35.362928,30.5318,11.9784,4.32779,132.188,1023.133
30.5,1491.44,1.701,1.685,11.9673,35.386007,30.5631,11.9671,4.38331,133.881,1023.1592
30.75,1491.47,1.685,1.67,11.9859,35.373602,30.536,11.9857,4.41618,134.888,1023.1348
31,1490.7,1.671,1.656,12.0018,34.660175,29.8407,12.0016,4.45222,136.061,1022.5928
31.25,1489.67,1.658,1.643,11.7646,34.280766,29.667,11.7644,4.45338,136.109,1022.5006
31.5,1488.66,1.648,1.633,11.3775,34.262713,29.9608,11.3773,4.42747,135.277,1022.7968
31.75,1488.03,1.647,1.632,11.1307,34.25878,30.158,11.1306,4.36132,133.231,1022.9929
32,1487.7,1.656,1.641,11.0017,34.255079,30.2604,11.0015,4.33602,132.445,1023.0947
32.25,1487.53,1.674,1.659,10.9373,34.25271,30.3112,10.9371,4.39132,134.127,1023.1453
32.5,1487.44,1.697,1.681,10.9047,34.251252,30.3367,10.9045,4.53201,138.421,1023.1708
32.75,1487.4,1.709,1.694,10.8879,34.249792,30.3492,10.8877,4.72586,144.34,1023.1834
